property_id,lat,lng,addr_street,suburb,closest_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag,House_report,Median_house_price,House_quarterly_growth,House_twelve_month_growth,House_average_annual_growth
47379,-37.714382,145.14271000000005,6 Tanya Way,ELTHAM,19987,0.45960090734493303,51,1,"Investment property in Eltham has done well for investors when compared to the country as a whole over the last 12 months, with an increase in the median house price of 37.14%
Comparing Eltham,3095 ‘s 5year and quarterly average capital gain offered to property investors, it performed better across the longer period
LACK OF BUYER INTEREST may well be the reason that Eltham  is offering  property investors an average of -1.95. This rate of discount on properties puts  Suburb at number 376th in terms of most discounted suburbs in VIC
In the last year 233 properties changed hands in Eltham, which puts it as the 115th most active market in VIC when comparing the number of sales per suburb.
A  $470 per week rent on the median house gives suburb investors a gross yield of circa 5.09%, without taking into account capital value appreciation, which has been averaging out at  1.71%.
","$1,186,450",12.94%,37.14%,1.71%
9996,-37.781423,144.92801699999995,12 Dalgleish Street,FLEMINGTON,20040,0.6627111718795489,10,1,"Flemington is an average performer in VIC when comparing  median price capital growth over the last year. Flemington gave property investors  a  average capital gain  figure when compared to the rest of the state, with 21.83%.
When looking at the potential capital gains offered to property investors over the last 3 years, Flemington comes in at number 31th in VIC.
State is the 6th most discounted Australian state or territory in this month’s figures with an average Vendor Discount of -1.95% offered to property buyers. Sellers in Flemington itself are offering an average vendor discount of  -4.34% to real estate investors.
On average over the past year, suburb has had 6.92 sales per month, which equates to 83 per year.
","$1,271,000",12.22%,21.83%,9.39%
56428,-37.847315,145.12573799999996,24 Christina St,BURWOOD,19875,3.1168909645958105,Not available,0,"If you compare the increase in value of investment property in  Burwood, 3125  to the rest of Australia, it performed very well. The median increase in value, or capital gain property investors experienced for this VIC suburb was 36.36%.
Comparing Burwood,3125 ‘s 5year and quarterly average capital gain offered to property investors, it performed less well across the longer period
Burwood3125 is  located in VIC  which offers an average discount of -1.95% to property investors.  Burwood itself is showing figures that indicate -3.80% is the average achievable by property buyers investing in the suburb.
A  $500 per week rent on the median house gives suburb investors a gross yield of circa 2.17%, without taking into account capital value appreciation, which has been averaging out at  6.88%.
","$1,400,000",13.42%,36.36%,6.88%
2424,-37.819282,144.843502,64 Corrigan Avenue,BROOKLYN,20022,2.8099698084834666,16,1,"Investment property in Brooklyn has done around average for investors when compared to the country as a whole over the last 12 months, with an increase in the median house price of 16.39%
Across a shorter period, Brooklyn, 3012 has seen a median price increase of 10.83% over the last quarter. 
The most recent median price for Brooklyn is $860000, with sellers offering an average of -3.86% off the asking price.
With the median price for a house in Brooklyn being  $860000 and the advertised rent reaching  $650 the gross rental yield for property investors calculates out to be 3.89%
","$860,000",10.83%,16.39%,2.91%
75711,-37.895457,145.101846,13 Winifred Street,OAKLEIGH,19917,1.3090325830182077,25,1,"With a capital gain of 35.94% for the last 12 months, Oakleigh, 3166 has  performed  for property investments than its average annual 2.11% property  growth over the last 5 years.
The five-year average increase in median property values for Oakleigh,3166 has given property investors a potential capital gain of 35.61% across each of those five years.
Oakleigh3166 is  located in VIC  which offers an average discount of -1.95% to property investors.  Oakleigh itself is showing figures that indicate -7.14% is the average achievable by property buyers investing in the suburb.
On average over the past year, suburb has had 5.25 sales per month, which equates to 63 per year.
Oakleigh, 3166’s gross rental yield is 9.91%
","$1,360,000",12.10%,35.94%,2.11%
22592,-37.738934,144.96258999999995,31 Main Street,COBURG,19965,0.38534686880964114,23,1,"Property investors who have had real estate in Coburg, 3058 should be pleased with this VIC suburb’s performance compared to the rest of the country. Over the last year it has seen median house prices increase in value by 25.15%
Data for the last quarter indicates that, in the short term at least, the capital value growth rate for property investors in Coburg has increased when compared to the 5 year average  annual rate.
Coburg3058 is  located in VIC  which offers an average discount of -1.95% to property investors.  Coburg itself is showing figures that indicate -3.86% is the average achievable by property buyers investing in the suburb.
","$1,200,000",12.51%,25.15%,5.42%
70187,-37.872489,145.10914499999996,55 Salisbury Road,ASHWOOD,19840,0.2869886223587984,Not available,0,"If you compare the increase in value of investment property in  Ashwood, 3147  to the rest of Australia, it performed very well. The median increase in value, or capital gain property investors experienced for this VIC suburb was 26.78%.
Over the longer term, Ashwood has seen property prices  show investors a 27.33% return over the last 3 years. This is worse than over the last 12 months
State is the 6th most discounted Australian state or territory in this month’s figures with an average Vendor Discount of -1.95% offered to property buyers. Sellers in Ashwood itself are offering an average vendor discount of  0.00% to real estate investors.
","$1,390,000",12.02%,26.78%,8.82%
9684,-37.85261720000001,144.7342274,852 Goldsborough Road,TRUGANINA,46468,2.244050332668635,Not available,0,"Truganina  has had a pretty good year for property investment returns compared to the rest of VIC, giving investors a capital gain of 25.58% to date . 
Truganina,3029 was ranked 367 in Australia by increase in median property value over the quarter.
Vendor discounting in Truganina is giving property investors an average Vendor Discount of around -3.99%. This puts suburb at number 188th in VIC when ranking the most discounted suburbs.
Advertised rents are around the  $470 mark per week – giving a return of 3.62% based on the median price in Suburb
","$600,000",13.92%,25.58%,8.03%
66034,-37.771923,145.326999,22 Nambour Drive,MOOROOLBARK,19877,1.9203513370322653,45,1,"If you compare the increase in value of investment property in  Mooroolbark, 3138  to the rest of Australia, it performed poorly. The median increase in value, or capital gain property investors experienced for this VIC suburb was 0.00%.
Mooroolbark,3138 has offered an average of 0.00% return per annum in house price rises to property investors over the last three years.
The most recent median price for Mooroolbark is $818500, with sellers offering an average of -8.58% off the asking price.
Renters in Suburb are facing rents around   $0 per annum or  $0 every week.
","$818,500",14.36%,0.00%,11.40%
71631,-37.86271286,145.2176209,5 The Rise,WANTIRNA,19871,4.501252724342279,37,1,"With a capital gain of 21.01% for the last 12 months, Wantirna, 3152 has  performed  for property investments than its average annual 8.63% property  growth over the last 5 years.
Over the longer term, Wantirna has seen property prices  show investors a 28.99% return over the last 3 years. This is worse than over the last 12 months
Wantirna3152 is  located in VIC  which offers an average discount of -1.95% to property investors.  Wantirna itself is showing figures that indicate -3.02% is the average achievable by property buyers investing in the suburb.
At number 1558 in a list of fastest selling suburbs, Wantirna is in the TOP 40% of suburbs in Australia with an average of days on market 27.9351 for properties listed there.
Advertised rents are around the  $504 mark per week – giving a return of 2.94% based on the median price in Suburb
","$1,027,000",11.25%,21.01%,8.63%
